Month,REGION,DIRECT SAVINGS,ILLEGAL CONNECTION,MECHANICAL METER,SMART METER,FAULTY METER,METER SURVEYED
JANUARY,Muscat,171556,32,591,36815,2982,37406
FEBRUARY,Muscat,406007,8,143,21431,1430,21574
MARCH,Muscat,175230,24,172,15318,1142,15490
APRIL,Muscat,690421,50,211,22829,1295,23040
MARCH,Dakhliyah,33684,15,276,3620,170,3896
APRIL,Dakhliyah,265442,20,925,14965,495,15890
MARCH,South_sharqiyah,107430,13,406,4015,45,4421
APRIL,South_sharqiyah,285478,25,693,10877,100,11570
MARCH,North_sharqiyah,10966,44,206,1396,2,1602
APRIL,North_sharqiyah,39772,30,452,7072,39,7524
APRIL,Al_wusta,12008,0,192,473,12,665
MARCH,North_bathinah,2568,0,9,319,6,328
APRIL,North_bathinah,3279,0,332,4365,22,4697
MARCH,South_bathinah,23722,0,110,6657,63,6767
APRIL,South_bathinah,48599,2,155,15721,178,15876
MARCH,Musandam,1855,0,20,369,10,389
APRIL,Musandam,21187,0,118,3420,103,3538
JANUARY,Dhahirah,87916,,124,2190,24,2314
FEBRUARY,Dhahirah,3425,,80,2025,27,2105
MARCH,Dhahirah,977,,81,924,31,1005
APRIL,Dhahirah,3129,2,63,1310,16,1373
